代码,公司名称,行业板块,现价 ($),市值 (十亿$),滚动PE,PEG,ROE (%),营收增速 (%),股息率 (%),偏离50日线 (%)
HD,Home Depot (The),Consumer Discretionary,293.2,292.52,20.5,2.47,104.3,5.7,319.0,-9.93
HONA,Honeywell Aerospace,Industrials,158.78,50.33,48.41,1.01,,5.4,0.0,-8.93
HON,Honeywell Technologies,Industrials,212.55,67.37,8.17,3.46,46.58,4.3,132.0,-4.79
HRL,Hormel Foods,Consumer Staples,19.71,10.85,31.79,1.4,4.29,-2.4,590.0,-15.02
HST,Host Hotels & Resorts,Real Estate,22.42,15.36,15.05,3.37,15.56,3.6,360.0,-2.93
HWM,Howmet Aerospace,Industrials,232.48,92.71,50.21,0.8,34.73,24.1,24.0,-11.63
HPQ,HP Inc.,Information Technology,31.3,28.23,11.95,3.32,,12.5,385.0,5.41
HUBB,Hubbell Incorporated,Industrials,466.62,24.65,27.59,1.96,24.44,15.3,122.0,-1.46
HUM,Humana,Health Care,397.93,47.78,37.65,1.27,6.89,26.2,93.0,2.89
HBAN,Huntington Bancshares,Financials,15.64,31.6,12.03,1.83,9.0,47.6,405.0,-7.33
HII,Huntington Ingalls Industries,Industrials,264.02,10.4,15.73,0.82,12.97,10.9,208.0,-10.31
IBM,IBM,Information Technology,225.51,212.46,20.03,2.15,34.46,1.1,298.0,-2.02
IEX,IDEX Corporation,Industrials,230.08,16.96,33.06,1.74,12.96,6.4,128.0,0.46
IDXX,Idexx Laboratories,Health Care,519.26,40.91,36.44,2.81,74.21,9.7,0.0,-5.03
ITW,Illinois Tool Works,Industrials,274.32,78.13,24.85,2.53,104.62,6.1,253.0,-1.94
ILMN,"Illumina, Inc.",Health Care,270.0,40.77,50.37,3.38,32.34,9.4,0.0,28.09
INCY,Incyte,Health Care,123.89,25.11,15.78,10.82,30.67,37.7,0.0,0.52
IR,Ingersoll Rand,Industrials,76.08,29.52,31.44,0.61,9.47,8.5,11.0,-4.7
PODD,Insulet Corporation,Health Care,136.13,9.44,25.59,1.07,26.02,23.5,0.0,-8.21
INTC,Intel,Information Technology,123.0,650.19,,1.36,-10.71,25.4,0.0,24.18
IBKR,Interactive Brokers,Financials,89.24,40.43,35.41,1.45,24.02,26.3,39.0,-2.12
ICE,Intercontinental Exchange,Financials,154.31,86.63,21.76,2.13,14.09,4.8,133.0,0.32
IFF,International Flavors & Fragrances,Materials,85.69,21.88,,1.77,-5.55,1.8,186.0,3.43
IP,International Paper,Materials,35.02,18.55,,1.58,-16.48,-2.2,530.0,-9.06
INTU,Intuit,Information Technology,275.79,73.7,16.76,0.88,23.6,13.7,199.0,-15.05
ISRG,Intuitive Surgical,Health Care,405.18,145.17,46.47,1.86,17.42,18.5,0.0,8.36
IVZ,Invesco,Financials,30.92,13.65,,0.9,-0.57,20.5,280.0,-1.11
INVH,Invitation Homes,Real Estate,26.62,15.72,24.42,13.14,7.05,10.1,453.0,-7.56
IQV,IQVIA,Health Care,270.37,44.5,33.67,1.0,22.82,8.7,0.0,9.2
IRM,Iron Mountain,Real Estate,111.38,33.16,78.44,2.7,,18.5,303.0,-6.83
JBHT,J.B. Hunt,Industrials,225.46,21.17,32.07,1.65,18.45,19.4,79.0,-15.53
JBL,Jabil,Information Technology,316.74,33.19,39.69,0.82,65.88,11.8,10.0,-0.26
JKHY,Jack Henry & Associates,Financials,147.79,10.36,21.2,1.8,24.04,4.7,165.0,-6.15
